Qualis	Ano da Produção	Autor01	Autor01-Cat	Autor02	Autor02-Cat	Autor03	Autor03-Cat	Autor04	Autor04-Cat	Autor05	Autor05-Cat	Autor06	Autor06-Cat	Autor07	Autor07-Cat	Autor08	Autor08-Cat	Autor09	Autor09-Cat	Autor10	Autor10-Cat	Autor11	Autor11-Cat	Autor12	Autor12-Cat	Autor13	Autor13-Cat	Autor14	Autor14-Cat	Autor15	Autor15-Cat	Autor16	Autor16-Cat	Autor17	Autor17-Cat	Autor18	Autor18-Cat	Autor19	Autor19-Cat	Autor20	Autor20-Cat	Autor21	Autor21-Cat	Autor22	Autor22-Cat	Autor23	Autor23-Cat	Autor24	Autor24-Cat	Autor25	Autor25-Cat	Autor26	Autor26-Cat	Autor27	Autor27-Cat	Autor28	Autor28-Cat	Autor29	Autor29-Cat	Autor30	Autor30-Cat	Autor31	Autor31-Cat	Autor32	Autor32-Cat	Autor33	Autor33-Cat	Autor34	Autor34-Cat	Autor35	Autor35-Cat	Autor36	Autor36-Cat	Autor37	Autor37-Cat	Autor38	Autor38-Cat	Autor39	Autor39-Cat	Autor40	Autor40-Cat	Autor41	Autor41-Cat	Autor42	Autor42-Cat	Autor43	Autor43-Cat	Autor44	Autor44-Cat	Autor45	Autor45-Cat	Autor46	Autor46-Cat	Cidade	Cidade do evento	DOI	Divulgação	Edição / Número	Fascículo	IES Nome	IES Sigla	ISBN/ISSN	ISSN / Título do periódico	Idioma	Linha de Pesquisa	Natureza	Nome da editora	Nome do PPG	Nome do evento	Número da página final	Número da página inicial	Número do DOI	Observação	País	Produção Glosada?	Programa	Projeto de Pesquisa	Subtipo da Produção	Série	Tipo da Produção	Título da Produção	Título dos Anais	URL	URL do DOI	Volume	Área de Avaliação	Área de Concentração
C	2017.0	MARIA TERESA GOMES BARBOSA	Docente	BARBARA MOURA DIAS E SILVA	Participante Externo	CLAUDIA VALERIA GAVIO COURA	Participante Externo																																																																																							-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		1809-6298 / (1809-6298) ARQUITEXTOS (SÃO PAULO)	Português	TÉCNICA DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		-	04		-		Não	32005016029P4	PATOLOGIA EM EDIFICAÇÕES	ARTIGO EM PERIÓDICO	205.04	BIBLIOGRÁFICA	A IMPORTÂNCIA DOS SERVIÇOS DE MANUTENÇÃO NO PATRIMÔNIO HISTÓRICO CINE THEATRO CENTRAL, PALACETE SANTA MAFALDA E FÓRUM DA CULTURA EM JUIZ DE FORA		-		18	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
B3	2017.0	WILIAN DANIEL HENRIQUES DO AMARAL	Discente - Mestrado	GUILHERME VALLE LOURES BRANDAO	Discente - Mestrado	JOSE ALBERTO BARROSO CASTANON	Docente																																																																																							-	Los Angelels	-	MEIO DIGITAL	-	-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF	-	2194-5357 / (2194-5357) ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING	Inglês	TÉCNICA DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído	AHFE 2017 International Conference on Ergonomics in Design	399	390		-	Estados Unidos	Não	32005016029P4	TÉCNICA DO AMBIENTE CONSTRUÍDO	TRABALHO EM ANAIS	1	BIBLIOGRÁFICA	AERIAL SURVEILLANCE: A THEORETICAL COMPARISON STUDY ON REMOTE CONTROLLED AIRCRAFT	Proceedings of the AHFE 2017 International Conference on Ergonomics in Design	-		588	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
NA	2017.0	ANA FLAVIA RAMOS CRUZ	Discente - Mestrado	MARIA TERESA GOMES BARBOSA	Docente	JOSE ALBERTO BARROSO CASTANON	Docente																																																																																							-		-	VÁRIOS		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		2318-0692 / (2318-0692) REVISTA DE ENGENHARIA DA UNIVERSIDADE CATÓLICA DE PETRÓPOLIS	Português	TÉCNICA DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		43	33		-		Não	32005016029P4	TÉCNICA DO AMBIENTE CONSTRUÍDO	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	ANÁLISE DO PROCESSO DE MANUTENÇÃO EM DIFERENTES SISTEMAS CONSTRUTIVOS NO BRASI		-		11	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	CARLOS EDUARDO DA ROCHA SANTOS	Discente - Mestrado	FREDERICO BRAIDA RODRIGUES DE PAULA	Docente	JOSE GUSTAVO FRANCIS ABDALLA	Docente																																																																																							-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		2179-7374 / (2179-7374) REVISTA EDUCAÇÃO GRÁFICA	Português	PROJETO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		66	49		-		Não	32005016029P4	ARQUITETURA, URBANISMO DESIGN E REPRESENTAÇÃO GRÁFICA	ARTIGO EM PERIÓDICO	3	BIBLIOGRÁFICA	AS HISTÓRIAS EM QUADRINHOS COMO LINGUAGEM GRÁFICA NO ENSINO DO PROJETO DE ARQUITETURA E URBANISMO		[http://www.educacaografica.inf.br/wp-content/uploads/2018/01/07_AS-HIST%C3%93RIAS-EM-QUADRINHOS-COMO-LINGUAGEM_49_66.pdf]		21	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	LEONARDO SANCHES	Discente - Mestrado	JOSE GUSTAVO FRANCIS ABDALLA	Docente	MARIA APARECIDA STEINHERZ HIPPERT	Docente																																																																																							-		10.24840/2184-0954_001.001_0004	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		2184-0954 / (2184-0954) INTERNATIONAL JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL SAFETY	Português	PROJETO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		48	39		-		Não	32005016029P4	PROJETO DO AMBIENTE CONSTRUÍDO	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	BIM AS SUPPORT FOR DESIGN PROCESS WITH FIRE SAFETY REGULATIONS		[doi:10.24840/2184-0954_001.001_0004]		1	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	KARLIANE MASSARI FONSECA	Discente - Mestrado	MARCELO LUIS RIBEIRO SILVA TAVARES	Participante Externo	LUCIA MARIA SÁ ANTUNES COSTA	Participante Externo	ANTONIO FERREIRA COLCHETE FILHO	Docente																																																																																					-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		0392-5005 / (0392-5005) URBANISTICA INFORMAZIONI	Português	PROJETO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		520	519		-		Não	32005016029P4	CIDADE OLÍMPICA: ARTE PÚBLICA E MOBILIÁRIO URBANO NA ÁREA CENTRAL DO RIO DE JANEIRO	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	CITY AND SPORT: LANDSCAPE AND PUBLIX SPACE IN SCENE		-		1	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
A1	2017.0	MARIA TERESA GOMES BARBOSA	Docente	Maria Manuela de Oliveira Guedes de Almeida	Participante Externo																																																																																									-		10.1016/j.ecolind.2016.09.017	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		1470-160X / (1470-160X) ECOLOGICAL INDICATORS	Inglês	TÉCNICA DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		51	46		-		Não	32005016029P4	TÉCNICA DO AMBIENTE CONSTRUÍDO	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	DEVELOPING THE METHODOLOGY FOR DETERMINING THE RELATIVE WEIGHT OF DIMENSIONS EMPLOYED IN SUSTAINABLE BUILDING ASSESSMENT TOOLS FOR BRAZIL		-		73	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	FERNANDO TADEU DE ARAUJO LIMA	Docente	MAURO SANTORO CAMPELLO	Participante Externo	RICARDO FERREIRA LOPES	Participante Externo																																																																																							-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		1679-7604 / (1679-7604) CADERNOS DO PROARQ (UFRJ)	Português	GESTÃO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		103	89		-		Não	32005016029P4	DA PROTOTIPAGEM RÁPIDA À FABRICAÇÃO DIGITAL: MÉTODOS DE PRODUÇÃO AUTOMATIZADA EM ARQUITETURA E URBANISMO	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	EXPLORANDO MÉTODOS DE REPRESENTAÇÃO E SIMULAÇÃO NA ETAPA CONCEPTIVA NO PROCESSO DO PROJETO ARQUITETÔNICO: ANÁLISE DE UM CASO DE ESTUDO		-		27	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
B3	2017.0	ANA APARECIDA BARBOSA PEREIRA	Docente																																																																																											-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		2236-837X / (2236-837X) REVISTA DE GEOGRAFIA (UFJF)	Português	TÉCNICA DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		87	1		-		Não	32005016029P4	PATRIMÔNIO CULTURAL: CIDADES E TERRITÓRIOS NO BRASIL	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	GEOTECNOLOGIA APLICADA A PRESERVAÇÃO DO PATRIMÔNIO RURAL		[http://https://geografia.ufjf.emnuvens.com.br/geografia/article/view/179/159]		7	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
NA	2017.0	VICTOR HUGO GODOY DO NASCIMENTO	Participante Externo	CARINA FOLENA CARDOSO	Participante Externo	MARCELO LUIS RIBEIRO SILVA TAVARES	Participante Externo	MARIANE GARCIA UNANUE	Participante Externo	PATRICIA MENEZES MAYA MONTEIRO	Participante Externo	FREDERICO BRAIDA RODRIGUES DE PAULA	Docente	ANTONIO FERREIRA COLCHETE FILHO	Docente																																																																															-		-	IMPRESSO		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		1934-7367 / (1934-7367) JOURNAL OF CIVIL ENGINEERING AND ARCHITECTURE (ONLINE)	Português	PROJETO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		499	494		-		Não	32005016029P4	ARQUITETURA, URBANISMO DESIGN E REPRESENTAÇÃO GRÁFICA	ARTIGO EM PERIÓDICO	5	BIBLIOGRÁFICA	LOCATING POWER AND DECISION-MAKING: SOCIAL PRODUCTION OF SPACE IN JUIZ DE FORA, BRAZIL		[http://www.davidpublisher.org/Public/uploads/Contribute/598bd87b1e848.pdf]		11	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	MARCOS OLENDER	Docente																																																																																											-		-	VÁRIOS		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		0102-2571 / (0102-2571) REVISTA DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL	Português	TÉCNICA DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		341	321		-		Não	32005016029P4	CONSTITUIÇÃO, CONSOLIDAÇÃO E PRESERVAÇÃO DO PATRIMÔNIO CULTURAL BRASILEIRO	ARTIGO EM PERIÓDICO	2017	BIBLIOGRÁFICA	O AFETIVO EFETIVO. SOBRE AFETOS, MOVIMENTOS SOCIAIS E PRESERVAÇÃO DO PATRIMÔNIO.		-		35	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
A4	2017.0	ANTONIO FERREIRA COLCHETE FILHO	Docente	FREDERICO BRAIDA RODRIGUES DE PAULA	Docente	LUCIA MARIA SÁ ANTUNES COSTA	Participante Externo	JULIANA VAREJAO GIESE	Discente - Mestrado																																																																																					-		-	VÁRIOS		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		1934-7359 / (1934-7359) JOURNAL OF CIVIL ENGINEERING AND ARCHITECTURE (PRINT)	Inglês	PROJETO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		920	915		-		Não	32005016029P4	ARQUITETURA, DESIGN, CIDADE, COMÉRCIO E CONSUMO: REFLEXÕES SOBRE O ESPAÇO TERCIÁRIO	ARTIGO EM PERIÓDICO	10	BIBLIOGRÁFICA	PUERTO MADERO AND PORTO MARAVILHA: THE TRANSFORMATION PROCESS OF PORT AREAS INTO TOURIST ZONES		[http://www.davidpublisher.org/index.php/Home/Article/index?id=34563.html]		11	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	LIVEA ROCHA PEREIRA	Discente - Mestrado	ANTONIO FERREIRA COLCHETE FILHO	Docente																																																																																									-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		1809-4120 / (1809-4120) CADERNOS DE PÓS GRADUAÇÃO EM ARQUITETURA E URBANISMO (MACKENZIE. ONLINE)	Português	PROJETO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		98	83		-		Não	32005016029P4	ARQUITETURA E URBANISMO EM JUIZ DE FORA: MARCOS DA HISTÓRIA DA CIDADE	ARTIGO EM PERIÓDICO	2	BIBLIOGRÁFICA	RIO, CIDADE E PAISAGEM FLUVIAL: O TERRITÓRIO PARAIBUNA EM JUIZ DE FORA/MG		-		17	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	TIAGO GORETTI RIBEIRO	Participante Externo	VICTOR HUGO GODOY DO NASCIMENTO	Participante Externo	ANTONIO FERREIRA COLCHETE FILHO	Docente																																																																																							-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	UFJF		1982-6745 / (1982-6745) REDES REVISTA DO DESENVOLVIMENTO REGIONAL	Português	PROJETO DO AMBIENTE CONSTRUÍDO	Completo	-	Ambiente Construído		-	162		-		Não	32005016029P4	ARQUITETURA E URBANISMO EM JUIZ DE FORA: MARCOS DA HISTÓRIA DA CIDADE	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	TRANSFORMAÇÕES URBANAS EM JUIZ DE FORA-MG: A AVENIDA BARÃO DO RIO BRANCO E A HISTÓRIA DA CIDADE / URBAN TRANSFORMATIONS IN JUIZ DE FORA-MG: THE BARÃO DO RIO BRANCO AVENUE AND THE CITY'S HISTORY		-		1	ARQUITETURA, URBANISMO E DESIGN	AMBIENTE CONSTRUÍDO
C	2017.0	FABIOLA BELINGER ANGOTTI	Discente - Doutorado	MARCELO HAMILTON SBARRA	Discente - Doutorado	PAULO AFONSO RHEINGANTZ	Docente	ROSA MARIA LEITE RIBEIRO PEDRO	Participante Externo																																																																																					-		"10.4237/virus_journa

"	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		2175-974X / (2175-974X) VIRUS	Português e inglês	CULTURA, PAISAGEM E AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA		7	1		-		Não	31001017088P2	TECENDO A QUALIDADE DO LUGAR: CARTOGRAFANDO NARRATIVAS E EXPERIÊNCIAS DE URBANIDADE	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	A CIDADE NA PERSPECTIVA SOCIOTECNICA: ONTOLOGIAS POLITICAS, AGENCIAMENTOS URBANOS E LUGARES HIBRIDOS		[http://www.nomads.usp.br/virus/virus14/secs/submitted/virus_14_submitted_1_pt.pdf]		14	ARQUITETURA, URBANISMO E DESIGN	QUALIDADE, AMBIENTE E PAISAGEM
NA	2017.0	ALDA DE AZEVEDO FERREIRA LEMOS	Discente - Doutorado	FERNANDO PEDRO DE CARVALHO ONO	Participante Externo	CLAUDIA CARVALHO LEME NOBREGA	Docente																																																																																							São Paulo		-	VÁRIOS		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		2359-5361 / (2359-5361) PAISAGEM E AMBIENTE	Português	RESTAURAÇÃO E GESTÃO DO PATRIMÔNIO	Completo	"Universidade Federal de São Paulo

"	ARQUITETURA		-	-		Divulgação tb em impressa. ISSN 0104-6098 (IMPRESSO)		Não	31001017088P2	DOCUMENTAÇÃO ARQUITETÔNICA, INVENTÁRIOS E SISTEMAS DE INFORMAÇÃO PARA PRESERVAÇÃO DE PATRIMÔNIO NO BRASIL	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	A INSTITUCIONALIZAÇÃO DO ENSINO DE ARQUITETURA PAISAGÍSTICA NO RIO DE JANEIRO		"https://www.revistas.usp.br/paam/index

"		40	ARQUITETURA, URBANISMO E DESIGN	PATRIMÔNIO, TEORIA E CRÍTICA DA ARQUITETURA
C	2017.0	ALDA DE AZEVEDO FERREIRA LEMOS	Discente - Doutorado	FERNANDO PEDRO DE CARVALHO ONO	Participante Externo																																																																																									Rio de Janeiro		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		1679-7604 / (1679-7604) CADERNOS DO PROARQ (UFRJ)	Português	RESTAURAÇÃO E GESTÃO DO PATRIMÔNIO	Completo	"Universidade Federal do Rio de Janeiro

"	ARQUITETURA		31	14		-		Não	31001017088P2	DOCUMENTAÇÃO ARQUITETÔNICA, INVENTÁRIOS E SISTEMAS DE INFORMAÇÃO PARA PRESERVAÇÃO DE PATRIMÔNIO NO BRASIL	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	A PERCEPÇÃO DE PAISAGEM DE HARUYOSHI ONO: UMA DESCRIÇÃO DO PROCESSO DE CRIAÇÃO PAISAGÍSTICO À LUZ DA FENOMENOLOGIA		"http://cadernos.proarq.fau.ufrj.br/pt/paginas/edicao/28

"		28	ARQUITETURA, URBANISMO E DESIGN	PATRIMÔNIO, TEORIA E CRÍTICA DA ARQUITETURA
C	2017.0	FABIOLA DO VALLE ZONNO	Docente																																																																																											-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		1984-5766 / (1984-5766) ARQ.URB	Português	TEORIA E ENSINO DE ARQUITETURA	Completo	-	ARQUITETURA		84	61		-		Não	31001017088P2	ENTRE ARTE, ARQUITETURA E PAISAGEM: TEORIA E CRÍTICA DA COMPLEXIDADE CONTEMPORÂNEA	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	A POÉTICA DE BERNARD TSCHUMI COMO COMPLEXIDADE E A INTERPRETAÇÃO DO CONTEXTO		-		18	ARQUITETURA, URBANISMO E DESIGN	PATRIMÔNIO, TEORIA E CRÍTICA DA ARQUITETURA
NA	2017.0	ALICE CALHAU GUIMARAES	Discente - Mestrado	LEOPOLDO EURICO GONCALVES BASTOS	Docente																																																																																									-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		2447-3073 / (2447-3073) MIX SUSTENTÁVEL (ONLINE)	Português	ARQUITETURA, PROJETO E SUSTENTABILIDADE	Completo	-	ARQUITETURA		83	75		-		Não	31001017088P2	ABORDAGEM MULTICRITÉRIO PARA O PROJETO DE EDIFICAÇÕES SUSTENTÁVEIS	ARTIGO EM PERIÓDICO	2	BIBLIOGRÁFICA	A SUSTENTABILIDADE COMO EXIGÊNCIA PARA OS CONCURSOS PÚBLICOS DE ARQUITETURA NO BRASIL: PANORAMA COMPARATIVO ENTRE OS PERÍODOS 2000-2007 E 2009-2015		[http://ojs.sites.ufsc.br]		3	ARQUITETURA, URBANISMO E DESIGN	QUALIDADE, AMBIENTE E PAISAGEM
B4	2017.0	LEILA DAL MORO	Participante Externo	ADALBERTO PANDOLFO	Participante Externo	MARCELE SALLES MARTINS	Participante Externo	ALINE PIMENTEL GOMES	Participante Externo	LAERCIO STOLFO MACULAN	Discente - Doutorado																																																																																			-		-	HIPERTEXTO		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		1519-8634 / (1519-8634) HOLOS ENVIRONMENT (ONLINE)	Português		Completo	-	ARQUITETURA		-	-		-		Não	31001017088P2		ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	"""ABORDAGEM DO GERENCIAMENTO DE RESÍDUOS DE SERVIÇOS DE SAÚDE EM DROGARIAS E FARMÁCIAS DE MANIPULAÇÃO EM CIDADE DE PEQUENO PORTE DA REGIÃO SUL DO BRASIL"""		-		17	ARQUITETURA, URBANISMO E DESIGN	
B1	2017.0	PAULO AFONSO RHEINGANTZ	Docente	ROSA MARIA LEITE RIBEIRO PEDRO	Participante Externo	FABIOLA BELINGER ANGOTTI	Discente - Doutorado	MARCELO HAMILTON SBARRA	Discente - Doutorado																																																																																					-		10.1590/2175-3369.009.003.ao02	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		2175-3369 / (2175-3369) URBE. REVISTA BRASILEIRA DE GESTÃO URBANA	Português	CULTURA, PAISAGEM E AMBIENTE CONSTRUÍDO	Completo	"Revista Urbe – Revista Brasileira de Gestão Urbana

"	ARQUITETURA		400	387		"O artigo foi publicado com um erro de grafia no sobrenome da discente co-autora. A editora está no processo de elaboração da errata, bem como a alteração do registro do DOI

"		Não	31001017088P2	TECENDO A QUALIDADE DO LUGAR: CARTOGRAFANDO NARRATIVAS E EXPERIÊNCIAS DE URBANIDADE	ARTIGO EM PERIÓDICO	3	BIBLIOGRÁFICA	ARENA DO MORRO E MUSEU DO AMANHÃ: DOIS LUGARES EM AÇÃO		[http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692017000300387&lng=en&nrm=iso]		9	ARQUITETURA, URBANISMO E DESIGN	QUALIDADE, AMBIENTE E PAISAGEM
B3	2017.0	FELIPE AZEVEDO BOSI	Discente - Doutorado	ETHEL PINHEIRO SANTANA	Docente																																																																																									-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		1808-5741 / (1808-5741) ARQUITETURAREVISTA (UNISINOS)	Português	CULTURA, PAISAGEM E AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA		-	-		-		Não	31001017088P2	DIMENSAO SUBJETIVA E CULTURAL DAS AMBIENCIAS: FERRAMENTAS ETNOTOPOGRÁFICAS NA PESQUISA EM ARQUITETURA E URBANISMO	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	ARQUITETURA COMO ATO RETÓRICO: ARISTÓTELES E A COMUNICAÇÃO NA ARQUITETURA DE “APRENDENDO COM LAS VEGAS”		-		1	ARQUITETURA, URBANISMO E DESIGN	QUALIDADE, AMBIENTE E PAISAGEM
B3	2017.0	BERNARDO DA SILVA VIEIRA	Discente - Doutorado																																																																																											São Paulo		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		1984-4506 / (1984-4506) RISCO: REVISTA DE PESQUISA EM ARQUITETURA E URBANISMO (ONLINE)	Português	TEORIA E ENSINO DE ARQUITETURA	Completo	-	ARQUITETURA		99	83		-		Não	31001017088P2	A ARQUITETURA DA CIDADE CONTEMPORÂNEA.  NOVOS PARÂMETROS.	ARTIGO EM PERIÓDICO	-	BIBLIOGRÁFICA	AS MÁQUINAS POLÍTICAS DE LEBEUS WOODS		"http://www.revistas.usp.br/risco/article/view/127741

"		15	ARQUITETURA, URBANISMO E DESIGN	PATRIMÔNIO, TEORIA E CRÍTICA DA ARQUITETURA
C	2017.0	RENATA DALBEM	Sem Categoria	EDUARDO GRALA DA CUNHA	Participante Externo	PAULO AFONSO RHEINGANTZ	Docente	Romeu da Silva Vicente	Participante Externo	ANTONIO CESAR SILVEIRA BAPTISTA DA SILVA	Participante Externo																																																																																			-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		1809-6298 / (1809-6298) ARQUITEXTOS (SÃO PAULO)	Português		Completo	-	ARQUITETURA		10	1		-		Não	31001017088P2		ARTIGO EM PERIÓDICO	211.03	BIBLIOGRÁFICA	ATENDER ÀS NORMAS DE DESEMPENHO É INDICATIVO DE CONFORTO TÉRMICO NA EDIFICAÇÃO DE USO HABITACIONAL?		[http://www.vitruvius.com.br/revistas/read/arquitextos/18.211/6828]		1	ARQUITETURA, URBANISMO E DESIGN	
NA	2017.0	DENISE DE CASTILHO PROVENZANO	Discente - Mestrado	LEOPOLDO EURICO GONCALVES BASTOS	Docente																																																																																									-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		2447-3073 / (2447-3073) MIX SUSTENTÁVEL (ONLINE)	Português	ARQUITETURA, PROJETO E SUSTENTABILIDADE	Completo	-	ARQUITETURA		24	15		-		Não	31001017088P2	ABORDAGEM MULTICRITÉRIO PARA O PROJETO DE EDIFICAÇÕES SUSTENTÁVEIS	ARTIGO EM PERIÓDICO	2	BIBLIOGRÁFICA	AVALIAÇÃO DA SUSTENTABILIDADE DE UM EMPREENDIMENTO DE HIS DO PMCMV ATRAVÉS DO SELO CASA AZUL		-		3	ARQUITETURA, URBANISMO E DESIGN	QUALIDADE, AMBIENTE E PAISAGEM
C	2017.0	MARIANA MARQUES ALMEIDA	Discente - Mestrado	GISELLE CHAVES ARTEIRO	Docente																																																																																									-		-	MEIO DIGITAL		-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ		2447-617X / (2447-617X) REVISTA PROJETAR - PROJETO E PERCEPÇÃO DO AMBIENTE	Português	CULTURA, PAISAGEM E AMBIENTE CONSTRUÍDO	Completo	-	ARQUITETURA		80	72		-		Não	31001017088P2	DO ESPAÇO ESCOLAR AO TERRITÓRIO EDUCATIVO: O LUGAR DA ARQUITETURA NA CONVERSA DA ESCOLA DA EDUCAÇÃO INTEGRALCOM A CIDADE DO RIO DE JANEIRO	ARTIGO EM PERIÓDICO	1	BIBLIOGRÁFICA	COMO A CASA ACOLHE: O OLHAR DE CRIANCAS E ADOLESCENTES DE UMA COMUNIDADE DE BAIXA RENDA EM JUIZ DE FORA-MG		-		2	ARQUITETURA, URBANISMO E DESIGN	QUALIDADE, AMBIENTE E PAISAGEM
C	2017.0	ALEXANDRE MAURICIO MATIELLO	Discente - Doutorado																																																																																											Rio de Janeiro	Rio de Janeiro	-	MEIO DIGITAL	oitava	-	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	UFRJ	9788588341708	1679-7604 / (1679-7604) CADERNOS DO PROARQ (UFRJ)	Português	CULTURA, PAISAGEM E AMBIENTE CONSTRUÍDO	Resumo	PROARQ	ARQUITETURA	8º Colóquio de Pesquisa do Programa de Pós-Graduação em Arquitetura da Faculdade de Arquitetura e Urbanismo da Universidade Federal do Rio de Janeiro	-	-		-	Brasil	Não	31001017088P2	DO ESPAÇO ESCOLAR AO TERRITÓRIO EDUCATIVO: O LUGAR DA ARQUITETURA NA CONVERSA DA ESCOLA DA EDUCAÇÃO INTEGRALCOM A CIDADE DO RIO DE JANEIRO	TRABALHO EM ANAIS	-	BIBLIOGRÁFICA	DA CIDADE EDUCADORA AOS NOVOS TERRITÓRIOS EDUCATIVOS: CONTRIBUIÇÕES A UMA EDUCAÇÃO PARA A URBANIDADE NO CONTEXTO DA ESCOLA EM TEMPO INTEGRAL	Anais do 8º Colóquio de Pesquisa do Programa de Pós-Graduação em Arquitetura da Faculdade de Arquitetura e Urbanismo da Universidade Federal do Rio de Janeiro	http://www.proarq.fau.ufrj.br/revista		1	ARQUITETURA, URBANISMO E DESIGN	QUALIDADE, AMBIENTE E PAISAGEM
